crim,zn,indus,chas,nox,rm,age,dis,rad,tax,ptratio,b,lstat,crim,zn,indus,chas,nox,rm,age,dis,rad,tax,ptratio,b,lstat,medv
0.00632,18,2.31,0,0.538,6.575,65.2,4.09,1,296,15.3,396.9,4.98,3.99424E-05,324,5.3361,0,0.289444,43.230625,4251.04,16.7281,1,87616,234.09,157529.61,24.8004,24
0.02731,0,7.07,0,0.469,6.421,78.9,4.9671,2,242,17.8,396.9,9.14,0.000745836,0,49.9849,0,0.219961,41.229241,6225.21,24.67208241,4,58564,316.84,157529.61,83.5396,21.6
0.02729,0,7.07,0,0.469,7.185,61.1,4.9671,2,242,17.8,392.83,4.03,0.000744744,0,49.9849,0,0.219961,51.624225,3733.21,24.67208241,4,58564,316.84,154315.4089,16.2409,34.7
0.03237,0,2.18,0,0.458,6.998,45.8,6.0622,3,222,18.7,394.63,2.94,0.001047817,0,4.7524,0,0.209764,48.972004,2097.64,36.75026884,9,49284,349.69,155732.8369,8.6436,33.4
0.06905,0,2.18,0,0.458,7.147,54.2,6.0622,3,222,18.7,396.9,5.33,0.004767903,0,4.7524,0,0.209764,51.079609,2937.64,36.75026884,9,49284,349.69,157529.61,28.4089,36.2
0.02985,0,2.18,0,0.458,6.43,58.7,6.0622,3,222,18.7,394.12,5.21,0.000891023,0,4.7524,0,0.209764,41.3449,3445.69,36.75026884,9,49284,349.69,155330.5744,27.1441,28.7
0.08829,12.5,7.87,0,0.524,6.012,66.6,5.5605,5,311,15.2,395.6,12.43,0.007795124,156.25,61.9369,0,0.274576,36.144144,4435.56,30.91916025,25,96721,231.04,156499.36,154.5049,22.9
0.14455,12.5,7.87,0,0.524,6.172,96.1,5.9505,5,311,15.2,396.9,19.15,0.020894703,156.25,61.9369,0,0.274576,38.093584,9235.21,35.40845025,25,96721,231.04,157529.61,366.7225,27.1
0.21124,12.5,7.87,0,0.524,5.631,100,6.0821,5,311,15.2,386.63,29.93,0.044622338,156.25,61.9369,0,0.274576,31.708161,10000,36.99194041,25,96721,231.04,149482.7569,895.8049,16.5
0.17004,12.5,7.87,0,0.524,6.004,85.9,6.5921,5,311,15.2,386.71,17.1,0.028913602,156.25,61.9369,0,0.274576,36.048016,7378.81,43.45578241,25,96721,231.04,149544.6241,292.41,18.9
0.22489,12.5,7.87,0,0.524,6.377,94.3,6.3467,5,311,15.2,392.52,20.45,0.050575512,156.25,61.9369,0,0.274576,40.666129,8892.49,40.28060089,25,96721,231.04,154071.9504,418.2025,15
0.11747,12.5,7.87,0,0.524,6.009,82.9,6.2267,5,311,15.2,396.9,13.27,0.013799201,156.25,61.9369,0,0.274576,36.108081,6872.41,38.77179289,25,96721,231.04,157529.61,176.0929,18.9
0.09378,12.5,7.87,0,0.524,5.889,39,5.4509,5,311,15.2,390.5,15.71,0.008794688,156.25,61.9369,0,0.274576,34.680321,1521,29.71231081,25,96721,231.04,152490.25,246.8041,21.7
0.62976,0,8.14,0,0.538,5.949,61.8,4.7075,4,307,21,396.9,8.26,0.396597658,0,66.2596,0,0.289444,35.390601,3819.24,22.16055625,16,94249,441,157529.61,68.2276,20.4
0.63796,0,8.14,0,0.538,6.096,84.5,4.4619,4,307,21,380.02,10.26,0.406992962,0,66.2596,0,0.289444,37.161216,7140.25,19.90855161,16,94249,441,144415.2004,105.2676,18.2
0.62739,0,8.14,0,0.538,5.834,56.5,4.4986,4,307,21,395.62,8.47,0.393618212,0,66.2596,0,0.289444,34.035556,3192.25,20.23740196,16,94249,441,156515.1844,71.7409,19.9
1.05393,0,8.14,0,0.538,5.935,29.3,4.4986,4,307,21,386.85,6.58,1.110768445,0,66.2596,0,0.289444,35.224225,858.49,20.23740196,16,94249,441,149652.9225,43.2964,23.1
0.7842,0,8.14,0,0.538,5.99,81.7,4.2579,4,307,21,386.75,14.67,0.61496964,0,66.2596,0,0.289444,35.8801,6674.89,18.12971241,16,94249,441,149575.5625,215.2089,17.5
0.80271,0,8.14,0,0.538,5.456,36.6,3.7965,4,307,21,288.99,11.69,0.644343344,0,66.2596,0,0.289444,29.767936,1339.56,14.41341225,16,94249,441,83515.2201,136.6561,20.2
0.7258,0,8.14,0,0.538,5.727,69.5,3.7965,4,307,21,390.95,11.28,0.52678564,0,66.2596,0,0.289444,32.798529,4830.25,14.41341225,16,94249,441,152841.9025,127.2384,18.2
1.25179,0,8.14,0,0.538,5.57,98.1,3.7979,4,307,21,376.57,21.02,1.566978204,0,66.2596,0,0.289444,31.0249,9623.61,14.42404441,16,94249,441,141804.9649,441.8404,13.6
0.85204,0,8.14,0,0.538,5.965,89.2,4.0123,4,307,21,392.53,13.83,0.725972162,0,66.2596,0,0.289444,35.581225,7956.64,16.09855129,16,94249,441,154079.8009,191.2689,19.6
1.23247,0,8.14,0,0.538,6.142,91.7,3.9769,4,307,21,396.9,18.72,1.518982301,0,66.2596,0,0.289444,37.724164,8408.89,15.81573361,16,94249,441,157529.61,350.4384,15.2
0.98843,0,8.14,0,0.538,5.813,100,4.0952,4,307,21,394.54,19.88,0.976993865,0,66.2596,0,0.289444,33.790969,10000,16.77066304,16,94249,441,155661.8116,395.2144,14.5
0.75026,0,8.14,0,0.538,5.924,94.1,4.3996,4,307,21,394.33,16.3,0.562890068,0,66.2596,0,0.289444,35.093776,8854.81,19.35648016,16,94249,441,155496.1489,265.69,15.6
0.84054,0,8.14,0,0.538,5.599,85.7,4.4546,4,307,21,303.42,16.51,0.706507492,0,66.2596,0,0.289444,31.348801,7344.49,19.84346116,16,94249,441,92063.6964,272.5801,13.9
